country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Moldova,4180,4080,4030,2690,2670,2570,2640,2460,2380,2350,2460,2630,2810,3000,3260,3500,3620,3980,3960,4380,4600,4680,5000,5190,4840,5220,5500,5800,6100,6410,6750,7120
Mongolia,5080,4460,4170,4190,4220,4270,4390,4350,4330,4260,4280,4420,4670,4890,5110,5420,6110,6420,6230,6580,7330,8130,8920,9490,9590,10000,10200,10400,10800,11300,11900,12500
Montenegro,23700,17100,10900,12400,12400,17400,16900,17800,15800,17200,16800,17200,17600,18500,19200,19300,19900,20700,20000,20700,21400,20600,21300,21300,21900,22600,22900,23700,24500,25400,26300,27300
Morocco,7140,6670,6430,7310,6970,7290,6860,7410,6860,6810,7090,7140,7390,7490,7640,8020,8170,8540,8700,8870,9170,9410,9700,9840,10100,10100,10400,10700,11000,11300,11700,12100
Mozambique,517,458,478,483,472,588,633,685,712,698,769,811,837,881,936,1010,1060,1110,1160,1210,1280,1360,1430,1530,1580,1590,1600,1630,1680,1750,1810,1940
Myanmar,422,455,474,500,525,548,567,589,642,720,793,880,994,1120,1270,1430,1600,1750,1930,2110,2210,2350,2520,2700,2860,3020,3210,3440,3690,3930,4160,4390
Namibia,14200,14600,13900,13600,13800,14000,14200,14000,13900,14000,13900,14300,14700,16300,16400,17200,18000,18000,17700,18400,18400,17700,18600,19000,19700,20300,19700,19800,19900,20200,20500,20800
Nepal,786,794,798,835,839,861,879,879,887,924,950,935,955,984,1000,1020,1040,1090,1120,1160,1170,1190,1210,1240,1250,1220,1300,1340,1370,1410,1440,1480
Netherlands,83500,82400,83300,85000,86700,87800,88300,89600,91700,92600,92400,91500,92200,94400,95800,97300,98200,97900,94000,98300,101000,99500,100000,102000,103000,105000,107000,108000,110000,111000,112000,114000
New Zealand,55400,55500,57500,57800,57900,58500,59700,60500,62600,62900,62900,64000,65600,65900,66000,66400,66900,65700,66300,66900,67200,68400,68400,68800,69700,70300,71300,71900,72800,73500,74300,75000
Nicaragua,3950,3860,3780,3830,4010,4040,3930,3950,3940,3890,3750,3910,3710,3760,3770,3810,3870,3940,3780,3830,3900,3990,4080,4140,4250,4350,4490,4640,4790,4940,5100,5260
Niger,990,894,876,879,868,862,848,897,854,806,832,832,851,826,838,856,849,895,853,887,871,940,953,982,979,991,1000,1030,1050,1090,1120,1150
Nigeria,4530,4440,4380,4300,4180,4290,4300,4310,4220,4340,4420,4470,4820,6310,6350,6700,6980,7220,7510,7880,8040,8160,8360,8730,8700,8580,8420,8420,8480,8630,8780,8940
North Korea,629,595,571,547,570,578,605,609,612,614,622,640,639,654,669,683,701,710,724,745,762,774,785,800,800,799,809,823,842,863,885,908
North Macedonia,13800,12900,11900,11800,11600,11800,11900,12000,12000,12400,11600,11900,12900,14100,14200,14200,14700,14900,14300,14600,14800,14700,14500,14700,15000,15000,15000,15500,16000,16400,16800,17200
Norway,130000,135000,139000,143000,148000,149000,152000,152000,154000,158000,161000,162000,166000,172000,176000,175000,175000,171000,169000,170000,170000,172000,172000,174000,176000,177000,179000,181000,183000,185000,188000,190000
Oman,49300,49100,48000,46500,46200,47800,51300,53300,53600,56400,57800,55300,51600,49900,48600,48000,46800,47000,45800,43700,38900,38300,36000,33500,32600,32700,31300,30900,30300,29900,30500,31000
Pakistan,2800,2920,2890,2900,3050,3080,3000,2980,2990,3040,3040,3050,3090,3150,3240,3230,3280,3260,3240,3180,3200,3240,3310,3350,3420,3460,3570,3700,3830,3970,4120,4270
Palestine,10800,10600,10400,10400,10600,11500,12000,12300,12300,11100,11300,10600,10600,11300,11500,10600,10400,11100,11700,12200,12300,12700,12600,12400,12000,12200,12200,12100,12100,12100,12100,12100
Panama,13500,13700,13600,13700,13300,13600,13900,14600,14400,14700,14600,14400,14500,14900,15200,16100,17100,17600,17400,18200,20100,21000,21500,22600,23200,23700,24700,25700,26700,27800,29000,30200
Papua New Guinea,2660,2960,3440,3540,3300,3470,3220,2990,2960,2790,2700,2610,2590,2590,2680,2670,2790,2900,3000,3150,3440,3640,3750,3980,4170,4190,4230,4270,4340,4410,4470,4550
Paraguay,7000,6910,7040,7140,7320,7600,7470,7260,7260,6760,6510,6450,6350,6400,6250,6420,6570,6820,6440,7280,7420,6820,7750,8210,8240,8390,8530,8660,8850,9020,9200,9380
Peru,7860,7490,7460,7980,8140,8010,8090,7880,7690,7910,7480,7570,7510,7610,7800,8050,8450,9020,8880,9320,9780,10200,10700,10800,11200,11400,11500,11700,12000,12300,12600,12900
Philippines,4160,4040,4010,4080,4150,4290,4400,4240,4270,4350,4350,4400,4520,4730,4840,4970,5130,5230,5120,5360,5380,5650,5940,6120,6380,6680,6990,7280,7580,7880,8180,8480
Poland,13600,14000,14700,15700,16800,17700,18700,19300,20800,22300,22900,24000,24900,26100,26200,26900,27400,27400,28100,29200,30600,31000,31400,31800,32600,32900,34100,35500,37000,38400,39900,41700
